"weight";"lat";"lon"
"9";"34.146";"-118.268"
"9";"34.296";"-118.429"
"9";"34.166";"-118.369"
"9";"34.156";"-118.399"
"9";"34.126";"-118.259"
"9";"33.995";"-118.419"
"9";"33.826";"-118.179"
"9";"33.936";"-118.859"
"9";"33.955";"-118.348"
"9";"33.896";"-118.469"
"9";"34.266";"-118.639"
"9";"33.855";"-118.689"
"9";"34.036";"-118.268"
"9";"34.226";"-118.598"
"9";"34.116";"-118.589"
"9";"34.116";"-118.399"
"9";"34.156";"-118.408"
"9";"33.826";"-118.619"
"9";"33.885";"-118.389"
"9";"34.256";"-118.609"
"9";"34.105";"-118.408"
"9";"34.046";"-118.469"
"9";"34.236";"-118.439"
"9";"34.175";"-118.408"
"9";"33.976";"-118.738"
"9";"33.866";"-118.369"
"9";"33.796";"-118.669"
"9";"34.056";"-118.389"
"9";"34.025";"-118.639"
"9";"33.775";"-118.289"
"9";"33.756";"-118.298"
"9";"33.666";"-118.259"
"9";"33.855";"-118.509"
"9";"34.166";"-118.449"
"9";"34.216";"-118.539"
"9";"33.976";"-118.458"
"9";"33.696";"-118.249"
"8";"34.116";"-118.449"
"8";"34.346";"-118.429"
"8";"33.675";"-118.298"
"8";"34.556";"-118.699"
"8";"33.716";"-118.298"
"8";"33.705";"-118.319"
"8";"33.675";"-118.249"
"8";"34.105";"-118.399"
"8";"34.046";"-118.518"
"8";"33.806";"-118.329"
"8";"34.135";"-118.539"
"8";"34.116";"-118.518"
"8";"33.885";"-118.329"
"8";"33.736";"-118.279"
"8";"33.705";"-118.289"
"8";"33.696";"-118.268"
"8";"33.565";"-118.189"
"8";"34.346";"-118.509"
"8";"33.896";"-118.339"
"8";"33.696";"-118.259"
"8";"34.236";"-118.429"
"8";"34.226";"-118.679"
"8";"34.116";"-118.598"
"8";"33.995";"-118.219"
"8";"33.666";"-118.238"
"8";"34.086";"-118.509"
"8";"33.876";"-118.628"
"8";"34.205";"-118.589"
"8";"34.175";"-118.569"
"8";"34.065";"-118.499"
"8";"33.916";"-118.339"
"8";"33.866";"-118.658"
"8";"34.605";"-118.529"
"8";"34.186";"-118.669"
"8";"34.036";"-118.509"
"8";"33.866";"-118.499"
"8";"34.486";"-118.469"
"8";"34.096";"-118.569"
"8";"34.025";"-118.658"
"8";"34.146";"-118.389"
"8";"33.925";"-118.419"
"8";"34.336";"-118.419"
"8";"34.126";"-118.529"
"8";"34.396";"-118.499"
"8";"34.175";"-118.658"
"8";"33.705";"-118.249"
"8";"34.586";"-118.699"
"8";"34.446";"-118.509"
"8";"34.236";"-118.529"
"8";"34.216";"-118.589"
"8";"34.076";"-118.559"
"8";"34.466";"-118.488"
"8";"34.216";"-118.669"
"8";"34.065";"-118.479"
"8";"33.955";"-118.458"
"8";"34.336";"-118.589"
"8";"34.576";"-118.509"
"8";"34.226";"-118.518"
"8";"33.946";"-118.878"
"8";"34.056";"-118.509"
"8";"33.896";"-118.259"
"8";"34.495";"-118.458"
"8";"34.016";"-118.559"
"8";"33.836";"-118.589"
"8";"34.245";"-118.579"
"8";"34.156";"-118.628"
"8";"34.135";"-118.598"
"8";"34.296";"-118.439"
"8";"34.216";"-118.619"
"8";"34.216";"-118.429"
"8";"34.126";"-118.548"
"8";"33.836";"-118.539"
"8";"33.756";"-118.529"
"8";"34.425";"-118.429"
"8";"33.955";"-118.939"
"8";"33.686";"-118.249"
"8";"33.666";"-118.289"
"8";"34.245";"-118.439"
"8";"34.126";"-118.458"
"8";"33.826";"-118.598"
"8";"33.806";"-118.139"
"8";"34.096";"-118.458"
"8";"34.006";"-118.199"
"8";"34.186";"-118.509"
"8";"34.105";"-118.589"
"8";"34.116";"-118.389"
"8";"34.065";"-118.419"
"8";"33.836";"-118.579"
"8";"33.666";"-118.268"
"8";"34.436";"-118.679"
"8";"34.326";"-118.469"
"8";"34.205";"-118.408"
"8";"34.156";"-118.509"
"8";"34.065";"-118.429"
"8";"34.565";"-118.699"
"8";"34.275";"-118.598"
"8";"33.986";"-118.408"
"8";"33.925";"-118.429"
"8";"34.546";"-118.689"
"8";"34.306";"-118.609"
"8";"34.186";"-118.458"
"8";"33.786";"-118.669"
"7";"34.175";"-118.449"
"7";"34.065";"-118.408"
"7";"33.726";"-118.279"
"7";"34.236";"-118.598"
"7";"34.226";"-118.689"
"7";"33.966";"-118.399"
"7";"34.186";"-118.419"
"7";"34.166";"-118.399"
"7";"34.105";"-118.449"
"7";"33.866";"-118.649"
"7";"34.495";"-118.679"
"7";"34.126";"-118.499"
"7";"34.105";"-118.579"
"7";"33.866";"-118.339"
"7";"33.656";"-118.298"
"7";"33.576";"-118.179"
"7";"34.216";"-118.449"
"7";"34.126";"-118.619"
"7";"33.666";"-118.298"
"7";"34.245";"-118.548"
"7";"33.976";"-118.969"
"7";"33.815";"-118.179"
"7";"34.266";"-118.589"
"7";"34.126";"-118.539"
"7";"33.815";"-118.149"
"7";"34.065";"-118.548"
"7";"33.846";"-118.329"
"7";"33.836";"-118.569"
"7";"33.666";"-118.249"
"7";"34.126";"-118.518"
"7";"33.925";"-118.908"
"7";"33.815";"-118.369"
"7";"34.416";"-118.479"
"7";"34.326";"-118.598"
"7";"34.216";"-118.518"
"7";"34.146";"-118.598"
"7";"34.086";"-118.499"
"7";"33.906";"-118.569"
"7";"34.396";"-118.509"
"7";"34.016";"-118.569"
"7";"34.416";"-118.529"
"7";"34.126";"-118.569"
"7";"34.126";"-118.449"
"7";"34.536";"-118.449"
"7";"34.226";"-118.699"
"7";"33.775";"-118.319"
"7";"34.586";"-118.518"
"7";"34.416";"-118.419"
"7";"34.336";"-118.488"
"7";"33.846";"-118.518"
"7";"34.216";"-118.609"
"7";"34.146";"-118.509"
"7";"33.736";"-118.289"
"7";"34.605";"-118.708"
"7";"34.525";"-118.488"
"7";"34.096";"-118.408"
"7";"33.966";"-118.969"
"7";"33.836";"-118.609"
"7";"33.726";"-118.298"
"7";"34.455";"-118.499"
"7";"34.226";"-118.469"
"7";"34.166";"-118.569"
"7";"33.836";"-118.598"
"7";"33.836";"-118.179"
"7";"33.826";"-118.119"
"7";"33.686";"-118.298"
"7";"34.006";"-118.298"
